len_domain,max_len_labels_subdomain,character_entropy,number_numerical_characters,ratio_numerical_characters,max_len_cont_num_chars,max_len_cont_alpha_chars,max_len_cont_same_alpha_chars,ratio_vowels,max_length_continuous_consonants,number_distinct_A_records,ip_entropy_domain_name,number_distinct_NS_records,similarity_NS_domain_name,Class
12,9,2.9,0,0.0,0,9,1,0.3333333333333333,2,12,3.42,14,14.67,benign
16,13,3.6,0,0.0,0,13,1,0.375,2,0,0.0,6,1.0,benign
9,6,2.5,0,0.0,0,6,2,0.4444444444444444,2,20,2.72,8,8.93,benign
9,6,2.7,0,0.0,0,6,1,0.4444444444444444,2,9,2.5,14,4.77,benign
13,10,3.5,0,0.0,0,10,1,0.3846153846153846,2,2,0.0,8,12.29,benign
10,7,2.5,0,0.0,0,7,2,0.5,2,25,1.85,9,12.69,benign
19,16,3.4,0,0.0,0,16,2,0.4210526315789473,2,33,0.95,4,1.0,benign
8,5,2.8,0,0.0,0,5,2,0.125,5,33,1.29,7,1.95,benign
8,5,3.0,0,0.0,0,5,1,0.25,4,0,0.0,2,1.0,benign
10,7,2.9,0,0.0,0,7,1,0.3,4,2,1.0,3,1.0,benign
18,15,2.9,0,0.0,0,15,2,0.2222222222222222,5,2,1.0,4,1.0,benign
11,8,3.1,0,0.0,0,8,1,0.3636363636363636,2,3,0.92,14,9.19,benign
5,3,1.9,0,0.0,0,3,1,0.0,3,0,0.0,4,1.0,benign
14,11,3.0,0,0.0,0,11,1,0.5,1,2,1.0,23,9.77,benign
9,6,2.7,0,0.0,0,6,1,0.4444444444444444,2,1,0.0,15,1.5,benign
8,5,2.8,0,0.0,0,5,1,0.125,5,1,0.0,10,10.78,benign
10,7,2.4,0,0.0,0,7,1,0.3,3,2,0.0,7,13.14,benign
15,12,3.6,0,0.0,0,12,1,0.4,2,1,0.0,19,4.33,benign
8,5,2.8,0,0.0,0,5,1,0.375,1,2,0.0,4,8.83,benign
14,11,3.3,0,0.0,0,11,1,0.2142857142857142,5,30,3.03,4,8.67,benign
15,12,3.3,0,0.0,0,12,1,0.3333333333333333,3,4,0.0,4,8.17,benign
9,6,2.4,0,0.0,0,6,1,0.4444444444444444,1,0,0.0,8,3.96,benign
